rmaNumber,orderNumber,customerNumber,requestDate,approvedDate,returnedDate,resolvedDate,reason,status,refundAmount,comments
RMA-00001,12854,20850,2024-06-29,2024-07-01,2024-07-04,2024-07-09,Wrong Item Shipped,Completed,62.79,Customer provided photos of damage.
RMA-00002,12394,24789,2022-02-09,,,,Changed Mind,Rejected,0.0,Second review requested.
RMA-00003,13433,23085,2025-05-14,2025-05-16,,,Wrong Item Shipped,Approved,1153.36,Replacement sent instead of refund.
RMA-00004,19574,24312,2025-05-14,2025-05-17,2025-05-31,,Packaging Damaged,Received,389.64,
RMA-00005,14019,20521,2022-07-26,2022-07-30,2022-08-10,2022-08-11,Changed Mind,Completed,705.02,Escalated to manager.
RMA-00006,10828,21373,2022-05-19,2022-05-23,,,Packaging Damaged,Approved,44.81,Second review requested.
RMA-00007,13568,20866,2026-06-02,2026-06-04,2026-06-11,2026-06-15,Not as Described,Completed,599.59,
RMA-00008,12843,24515,2022-04-24,2022-04-29,,,Defective Product,Approved,101.32,Item received and inspected.
RMA-00009,16747,22425,2024-11-21,2024-11-26,,,Missing Parts,Approved,53.39,
RMA-00010,19033,21627,2026-01-11,,,,Changed Mind,Rejected,0.0,Awaiting return shipment.
RMA-00011,10631,24197,2024-04-04,2024-04-07,,,Quality Not Acceptable,Approved,261.27,Refund issued to original payment method.
RMA-00012,14596,23159,2025-09-15,2025-09-19,2025-10-02,2025-10-06,Defective Product,Completed,288.14,Partial refund agreed upon.
RMA-00013,17055,20710,2023-11-15,,,,Item Arrived Too Late,Pending,0.0,Escalated to manager.
RMA-00014,12998,20881,2025-05-03,,,,Packaging Damaged,Pending,0.0,
RMA-00015,15624,23191,2023-11-26,2023-12-01,,,Packaging Damaged,Approved,274.34,
RMA-00016,10710,22707,2026-07-20,2026-07-20,2026-07-20,2026-07-20,Duplicate Order,Completed,1068.78,
RMA-00017,15302,24901,2022-10-13,2022-10-14,2022-10-24,2022-10-26,Damaged in Shipping,Completed,273.42,Replacement sent instead of refund.
RMA-00018,11715,22575,2023-11-15,2023-11-17,2023-11-28,2023-12-05,Damaged in Shipping,Completed,106.3,
RMA-00019,15348,21811,2025-08-09,2025-08-12,2025-08-26,2025-08-28,Defective Product,Completed,959.81,Awaiting return shipment.
RMA-00020,14307,24793,2022-12-22,,,,Wrong Item Shipped,Pending,0.0,
RMA-00021,16727,23553,2024-09-18,2024-09-21,,,Defective Product,Approved,37.54,Second review requested.
RMA-00022,14693,23731,2026-03-08,2026-03-10,2026-03-19,2026-03-23,Changed Mind,Completed,1096.21,Second review requested.
RMA-00023,11766,22675,2024-03-14,2024-03-18,2024-03-21,,Missing Parts,Received,51.5,Forwarded to quality control.
